wv,spd
380,1.21552E-01
385,1.15386E-01
390,1.33970E-01
395,1.32887E-01
400,1.91738E-01
405,2.04056E-01
410,2.15063E-01
415,2.22269E-01
420,2.23438E-01
425,2.22025E-01
430,2.08604E-01
435,2.35728E-01
440,2.47180E-01
445,2.64373E-01
450,2.80790E-01
455,2.83534E-01
460,2.90435E-01
465,2.88468E-01
470,2.87983E-01
475,2.93867E-01
480,2.97152E-01
485,2.79164E-01
490,2.84435E-01
495,2.90986E-01
500,2.82729E-01
505,2.84136E-01
510,2.86029E-01
515,2.73360E-01
520,2.72816E-01
525,2.78289E-01
530,2.81996E-01
535,2.83461E-01
540,2.76542E-01
545,2.77488E-01
550,2.78404E-01
555,2.76621E-01
560,2.68746E-01
565,2.65340E-01
570,2.59629E-01
575,2.58287E-01
580,2.62115E-01
585,2.65763E-01
590,2.52069E-01
595,2.55656E-01
600,2.53827E-01
605,2.56639E-01
610,2.55948E-01
615,2.54500E-01
620,2.57382E-01
625,2.49602E-01
630,2.44345E-01
635,2.52019E-01
640,2.53736E-01
645,2.51333E-01
650,2.47104E-01
655,2.38459E-01
660,2.51958E-01
665,2.57321E-01
670,2.57651E-01
675,2.56272E-01
680,2.54914E-01
685,2.29475E-01
690,2.05078E-01
695,2.30697E-01
700,2.31371E-01
705,2.36867E-01
710,2.38732E-01
715,2.22538E-01
720,1.89877E-01
725,1.94870E-01
730,1.99382E-01
735,2.21622E-01
740,2.24313E-01
745,2.29339E-01
750,2.27042E-01
755,2.25507E-01
760,1.16416E-01
765,1.09194E-01
770,2.09181E-01
775,2.20402E-01
780,2.19992E-01
