wv,spd
380,2.35441E-01
385,2.25231E-01
390,2.63422E-01
395,2.59749E-01
400,3.77263E-01
405,4.04062E-01
410,4.23194E-01
415,4.37991E-01
420,4.38622E-01
425,4.36707E-01
430,4.14202E-01
435,4.64232E-01
440,4.88692E-01
445,5.23643E-01
450,5.57038E-01
455,5.61244E-01
460,5.75272E-01
465,5.73008E-01
470,5.69913E-01
475,5.86384E-01
480,5.90922E-01
485,5.52246E-01
490,5.65351E-01
495,5.79498E-01
500,5.64367E-01
505,5.68425E-01
510,5.72320E-01
515,5.45150E-01
520,5.46845E-01
525,5.57317E-01
530,5.70082E-01
535,5.71857E-01
540,5.58598E-01
545,5.61592E-01
550,5.66013E-01
555,5.62550E-01
560,5.47529E-01
565,5.44346E-01
570,5.38050E-01
575,5.39582E-01
580,5.43660E-01
585,5.45452E-01
590,5.22655E-01
595,5.29788E-01
600,5.22727E-01
605,5.26012E-01
610,5.25299E-01
615,5.20530E-01
620,5.25472E-01
625,5.12048E-01
630,5.01446E-01
635,5.11983E-01
640,5.11340E-01
645,5.06644E-01
650,4.98734E-01
655,4.81108E-01
660,5.05914E-01
665,5.14445E-01
670,5.12605E-01
675,5.10500E-01
680,5.06257E-01
685,4.62647E-01
690,4.26312E-01
695,4.66115E-01
700,4.66350E-01
705,4.74440E-01
710,4.74970E-01
715,4.50755E-01
720,3.96502E-01
725,4.06420E-01
730,4.13974E-01
735,4.46245E-01
740,4.46007E-01
745,4.52841E-01
750,4.50840E-01
755,4.44911E-01
760,2.46763E-01
765,2.48699E-01
770,4.18015E-01
775,4.33958E-01
780,4.35312E-01
